question,selected,diversity
非法微整形机构构成非法经营罪吗,"非法微整形机构是否构成非法经营罪？, 微整形机构未经许可从事服务是否会触犯非法经营罪的相关规定？, 非法经营微整形服务是否会被追究刑事责任？, 非法微整形机构会因扰乱市场秩序而被判定为非法经营罪吗？, 违反法律规定从事微整形是否属于非法经营？, 非法开展微整形项目会不会构成刑事犯罪？, 未经许可经营微整形项目的机构会构成非法经营罪吗？, 非法从事微整形的行为是否属于非法经营的范畴？, 微整形机构未获得批准从事微整形项目是否违反非法经营罪？, 非法经营微整形项目的机构是否面临非法经营罪的惩罚？",19.64330568909645
入室持刀行凶伤人能不能判刑,"入室持刀伤人会被判刑吗？, 造成他人伤害的入室持刀行为会判几年？, 入室行凶持刀伤人会面临怎样的法律后果？, 以持刀方式入室伤人会被判多长时间？, 入室持刀造成他人伤害的刑罚是什么？, 持刀入室伤人能否构成犯罪？, 持刀伤人入室会被判刑几年的监禁？, 入室持刀致人重伤如何定罪处罚？, 入室行凶致伤能判多久刑期？, 入室持刀伤人算故意伤害罪吗？",21.63271552324295
我在辅道正常右转进主道，主道有两个车，后面的车占用对向车道超车，撞了是谁的责任,"在辅道右转进入主道时，如果主道上有两辆车，后面的车占用对向车道超车并发生碰撞，应该由谁负责？, 发生事故时，辅道正常右转进入主道后，后面车辆越过对向车道超车撞到前车，责任如何认定？, 主道上两车并行，后方车辆超车进入对向车道发生碰撞，责任该如何划定？, 辅道右转进入主道时，后面的车辆因占用对向车道超车发生碰撞，这种情况下谁应承担责任？, 如果在辅道右转进入主道时发生交通事故，后面车辆占道超车撞击了前车，责任该如何划分？, 主道上有两辆车，后面的车占用对向车道超车撞到前车，责任应该归谁？, 交通事故发生时，如果辅道右转进入主道，后方车辆越过对向车道超车，责任该由谁承担？, 如果辅道正常右转进入主道，后面的车占用对向车道超车并发生碰撞，应该由谁负责赔偿？, 发生交通事故时，如果辅道右转进入主道后，后面的车在对向车道超车导致撞击，责任由谁承担？, 如果辅道右转进入主道时，后面车辆越过车道超车撞上了前车，责任应该是谁的？",15.923960506916046
对交通事故责任认定书不服怎么办，交通事故损,"如果我对交通事故责任认定书有异议，应该怎么办？, 交通事故责任认定书下发后，有没有时间限制可以申请复议？, 交通事故认定书的处理结果不满意，复议要经过什么步骤？, 交通事故认定书发下来了，我不认同，如何向上级申诉？, 如果对交通事故责任认定书的内容不满，复议要在多少天内进行？, 在接到交通事故责任认定书后，复议的具体程序是什么？, 我对交通事故认定书不服，能向哪个机关申请复议？, 如果我对交通事故责任认定不服，复议时需要注意什么？, 我对交通事故认定书中的责任划分不满意，如何进行复议？, 交通事故责任认定书下发后，如果不服可以如何处理？",21.744651049375534
二审一般要多久,"二审一般需要多久才能审结？, 如何理解《民事诉讼法》对二审审限的规定？, 在二审中，哪些特殊情况可能导致审理时间延长？, 法院审理对裁定的上诉案件需要多久时间？, 二审审结的时间是否能根据具体情况进行调整？, 关于二审的审限，《民事诉讼法》做出了哪些要求？, 什么时候二审案件的审理可以超过三个月？, 如果特殊情况出现，二审的审限如何延长？, 二审立案后是否一定要在三个月内审结？, 二审案件的审理时间是否受到案件复杂性的影响？",31.120493188500404
欠钱没有欠条有录音能起诉吗,"如果没有欠条，但有录音证据能起诉吗？, 仅凭录音是否足以支持诉讼，而没有欠条的情况下？, 录音没有经过修改和剪辑，能作为有效证据吗？, 仅凭未经篡改的录音能否作为起诉依据，尽管没有欠条？, 没有书面欠条，只有录音的话能否向法院提起诉讼？, 录音资料能够作为唯一证据在没有欠条的情况下起诉吗？, 没有欠条但有清晰录音，能否作为法院受理的依据？, 录音如果未被篡改，是否能够作为没有欠条情况下的诉讼证据？, 如果没有欠条，且有录音和其他证据，能否立案？, 没有书面欠条，但有合法的录音，可以用于诉讼吗？",23.68810796737671
帮助别人套花呗违法吗,"用花呗套现收取手续费是否合法？, 收取手续费帮助他人通过花呗套现算不算犯罪？, 花呗套现时收取服务费用属于违法行为吗？, 帮助他人花呗套现并从中收取费用是否合法？, 通过花呗套现并收取费用会触犯什么法律？, 花呗套现并收取手续费的行为是否触犯法律？, 帮别人通过花呗套现并收取手续费是犯罪吗？, 使用花呗进行套现并从中收取费用是否合法？, 花呗套现并收取服务费算不算违法行为？, 帮别人套现花呗收取手续费是违法的吗？",18.042059749364853
因工作被三处烫伤，伤为三级烫伤，三处都需要植皮，鉴定能达到几级？,"我因工作受伤，三处烫伤为三级烫伤，植皮治疗后，能评定为几级伤残？, 三级烫伤并且需要植皮，经过鉴定后会被评为什么等级的伤残？, 我工作时被烫伤三处，均为三级且需要植皮，伤残鉴定结果是多少？, 如果工作中遭遇三级烫伤并且需要植皮，伤残等级会评定为几级？, 三处三级烫伤需要植皮治疗，经过专业鉴定会评为几级伤残？, 因工作烫伤三处，均为三级且需要植皮，这样的伤残等级是什么？, 如果因工作被烫伤到三级，且需要植皮治疗，伤残评定是多少级？, 我三处三级烫伤需要植皮，伤残鉴定能达到什么级别？, 伤为三级烫伤且需要植皮，伤残等级会评定为什么级别？, 三处三级烫伤需要植皮治疗，经过鉴定能达到几级伤残？",19.526848882436752
从合伙经营公司撤资，只给欠条有用吗,"从合伙公司撤资后，欠条是否有效？, 撤资之后，欠条能否在法律上被视为债务凭证？, 从合伙企业退出后，欠条能否替代其他法律文书证明债权？, 解除合伙关系后，是否仅凭欠条能够主张债权？, 撤资后欠条算不算合法的债务凭证？, 退出合伙关系后，欠条是否能够作为清算依据之一？, 如果合伙人撤资，欠条是否足够支持债权主张？, 解除合伙关系后，欠条是否具有合法债权的证明效力？, 合伙人撤资后，欠条是否能够被法院认可为有效凭证？, 在解除合伙关系后，欠条是否可以证明欠款的存在？",21.84568417072296
事故中我摩托车付次要责任，自行车付主要责任，我怎赔他医药费,"如果我在摩托车事故中负次要责任，自行车方负主要责任，我需要赔偿他多少医药费？, 如果摩托车承担次要责任，交强险医疗费用额度内的部分我全额支付，剩余部分如何分担？, 交强险医疗费用已经支付的部分，我还需要负担多少责任来赔偿他方的医药费？, 如果我在事故中负次要责任，交强险的赔偿额度有限，我如何按比例支付超过额度的医疗费？, 在这起摩托车事故中，我的摩托车承担次要责任，自行车承担主要责任，那么我应该如何支付医药费用？, 如果我负次要责任，交强险支付的医疗费用会覆盖哪些部分，我还需要承担什么？, 在摩托车与自行车的交通事故中，我负次要责任，如何按照交强险的规定赔偿医药费？, 在摩托车事故中，如果交强险的医疗费额度足够，我需要支付哪些费用？, 如果事故中摩托车负次要责任，而自行车负主要责任，我该如何处理赔偿责任和支付医药费用？, 如果我的摩托车负次要责任，交强险支付部分医疗费后，剩下的费用由我如何分担？",22.137497037649155
车祸小脑出血昏迷了5天怎么办,"车祸导致小脑出血昏迷了5天，应该怎么处理？, 小脑出血昏迷五天后，如何通过交警认定事故责任？, 车祸造成的小脑出血昏迷5天，怎样通过法律途径解决赔偿问题？, 车祸昏迷5天的小脑出血患者如何进行责任认定与索赔？, 发生车祸后，小脑出血导致昏迷5天，接下来该如何应对？, 小脑出血昏迷5天，车祸后如何找交警出具认定书？, 车祸导致昏迷五天的小脑出血，责任明确后怎么处理赔偿？, 小脑出血昏迷5天，车祸后的处理流程是什么？, 车祸导致的小脑出血昏迷5天，如何通过诉讼解决赔偿问题？, 小脑出血昏迷5天，车祸责任划分后怎么协商索赔？",18.775490760803223
哪些情况可以先行刑事拘留,"在哪些情况下可以对嫌疑人采取刑事拘留？, 公安机关拘留犯罪嫌疑人的依据是什么？, 刑事拘留的适用情形包括哪些具体情况？, 何种情形下，公安机关可以不经过审查直接拘留嫌疑人？, 如何判断是否可以对嫌疑人实施刑事拘留？, 公安机关拘留犯罪嫌疑人时，哪些情况可以作为依据？, 刑事拘留的具体适用条件是什么？, 依照法律，哪些情形下应当对嫌疑人实施刑事拘留？, 犯罪嫌疑人在什么情况下可能会被立即拘留？, 刑事拘留的法定条件有哪些？",27.840102426707745
在工地上面出了安全事故怎么来维护自己的权,"如果在工地上发生了安全事故，应该如何保护自己的权益？, 受伤后如何申请工伤认定，并根据责任追求赔偿？, 如何确保在工地事故发生后能够获得合理的赔偿？, 受伤后，我如何向雇主和保险公司申请工伤赔偿？, 工地事故导致受伤，我应该如何维护自己的合法权益？, 工地事故导致受伤后，如何根据责任认定和赔偿标准主张赔偿？, 如果我在工地发生事故，我应该怎么做才能获得工伤认定？, 在工地上发生安全事故后，我如何保证自己的权益得到保障？, 发生工地安全事故后，如何通过法律途径主张工伤赔偿？, 工地安全事故发生后，如何主张工伤赔偿并确认责任方？",25.095708340406418
申请和受理劳动争议调解仲裁时间上有什么限制,"劳动争议申请仲裁的时效是多久？, 劳动争议仲裁时效期是从什么时候开始计算的？, 劳动争议仲裁申请的时效期有何特殊规定？, 劳动争议的仲裁时效期是基于什么原则设定的？, 申请劳动仲裁的期限规定是什么？, 申请劳动仲裁的时效期从何时开始计算？, 劳动争议仲裁的时效期是按照什么标准来计算的？, 劳动争议申请仲裁的时效期是否有明确规定？, 劳动争议仲裁时效的计算方式是什么？, 劳动争议仲裁申请的时效期起始时间如何确定？",16.614407539367676
商标注册有什么相对禁止的条件,"商标注册有哪些显著特征要求？, 商标是否可以使用与他人相同或类似的名称？, 如何避免商标与政府标志或国际组织标志冲突？, 什么情况下商标的注册会侵犯他人的权益？, 商标能否仅由商品的形状或技术特征决定？, 商标注册时有哪些标准来防止不良社会影响？, 商标如何避免夸大宣传或具有误导性？, 商标法规定哪些商标不能注册因缺乏显著性？, 在申请商标时，如何避免侵犯他人合法权利？, 商标法规定的禁止注册标志包括哪些？",33.53633629530668
取保侯审期间酒后驾车交警抓住怎么处理？,"被取保候审期间如果酒后驾车被交警抓住怎么处理？, 被取保候审的人在酒驾后会面临哪些法律责任？, 取保候审期间酒驾被查如何影响保证金和审判结果？, 取保候审期间酒后驾车被处罚的具体程序是怎样的？, 取保候审中的犯罪嫌疑人酒驾被抓，如何处理？, 取保候审期内酒驾行为会有什么法律后果？, 如果取保候审期间被抓到酒后驾车，应该如何应对？, 被取保候审的嫌疑人酒驾被抓后会有什么后果？, 取保候审期间若犯酒后驾车罪会受到什么处理？, 取保候审期间酒驾被逮捕后的法律处理是怎样的？",21.29719814658165
公司破产孕妇怎么赔偿,"公司破产后，孕妇能获得怎样的赔偿？, 单位破产，孕妇的经济赔偿是否有所不同？, 在公司破产的情况下，怀孕职工的赔偿标准是怎样的？, 孕妇在单位破产时，可以通过什么方式要求赔偿？, 公司破产后，怀孕女性的赔偿有什么特别考虑？, 如果怀孕期间公司倒闭，孕妇的赔偿如何规定？, 用人单位破产后，孕妇应该得到什么形式的赔偿？, 当公司破产时，怀孕职工的赔偿是否有特殊规定？, 孕妇在公司破产时的赔偿计算方法是怎样的？, 用人单位破产后，孕妇能得到多少补偿？",21.069874823093414
委托专业律师草拟购房合同多少费用,"请问我委托专业律师起草购房合同需要支付多少费用？, 请提供律师草拟购房合同的收费情况，是否可以当面协商？, 请问律师收费标准是怎样的，如果我需要他们帮助起草购房合同？, 律师为我起草购房合同时的费用大约会是多少，是否可以面对面协商？, 购房合同的草拟费用一般是多少？我能与律师当面沟通吗？, 如果我请律师为我准备购房合同，费用大概需要多少？, 请问起草购房合同的律师收费大致是多少，可以和律师面谈讨论吗？, 我需要律师帮助草拟购房合同，费用会是多少，可以面谈吗？, 请问律师起草购房合同的收费标准如何，我是否可以和律师面对面讨论？, 请问购买房产时，委托律师起草合同的费用大约多少？",20.768001049757004
签了购房合同等于取得房屋产权吗,"签了购房合同后，是否就意味着已经拥有了房屋产权？, 购房合同签订后，为什么还需要等待房产证才能证明产权归购房者？, 房屋产权转移的过程是什么？仅仅签合同就能取得产权吗？, 签订购房合同后，房屋产权的正式过户手续还需要哪些步骤？, 购房合同只是房屋产权转移的一个环节吗？, 购房合同签了后，房产证需要多久才能拿到？, 签了购房合同，房屋产权究竟在什么时候才能正式归购房人？, 签合同后，房屋的产权归购房人了吗？还需要做什么？, 购房合同签署后，是否立即意味着产权转移？, 是否签了购房合同就能直接获得房产证？",25.063396871089935
迷信诈骗团伙老板和骨干会被判刑多少年,"骗局的组织者和骨干成员会被判多少年刑期？, 骗取大量财物并有其他特别严重情节的诈骗犯，将面临多久的刑期？, 骗局涉及的金额达到特别巨大，团伙的核心成员会被判几年？, 诈骗团伙老板如果诈骗金额巨大，最重的判刑年限是多少？, 骗局中金额特别大且有特别严重情节时，团伙的核心成员刑期如何判定？, 骗取大量公私财物的诈骗犯会被判多少年有期徒刑？, 团伙成员如果在诈骗案件中情节特别严重，通常会判多少年？, 骗取公私财物数额特别巨大的情况下，诈骗团伙骨干成员的刑期是多少？, 诈骗团伙负责人涉及特别巨大金额的诈骗案件，会有怎样的判决？, 骗局主犯的刑期通常会是多少年？",27.19258803129196
婚后买房，婆婆出了一半钱，离婚房怎么分,"婚后买的房子，婆婆出了一半钱，离婚时房产怎么分配？, 婚后买的房子，婆婆资助了一部分，离婚时该如何处理房产？, 婚后购房，婆婆帮助支付一半，离婚时房产如何分割？, 婚后买的房，婆婆出了一半的钱，离婚时怎么分配这套房产？, 婚后购房，婆婆提供了部分资金，离婚时房产如何分配？, 婚后购买的房子，婆婆帮助出资，离婚时该如何分割？, 婚后买房，婆婆出了一半资金，离婚时房产分割要怎样做？, 如果婚后买房，婆婆给了一半钱，离婚时房子怎么分割？, 婚后购房，婆婆出资一半，离婚时怎么进行房产分配？, 婚后买的房子，婆婆资助了一部分，离婚时该如何分割？",12.154127299785614
你好，我问农村住宅基地申请书怎么写？,"农村住宅用地申请书该如何撰写？, 申请建房用地时，村委会需要提供哪些意见？, 如何写出一份完整的农村住宅基地主体申请书？, 申请农村住宅基地时如何说明使用面积和地块位置？, 农村自建住房需要申请的土地条件有哪些？, 如何准备一份符合规范的农村建房用地申请？, 申请农村住宅基地产权的具体内容要怎么描述？, 在农村建设住房时，土地申请书应该包含哪些信息？, 申请农村宅基地时，怎样合理解释土地需求？, 农村住宅基地申请书中，土地使用的四至应怎么描述？",24.13777568936348
刑事案件，怎么收费，请律师都是有哪些费用,"刑事案件请律师的费用一般是多少？, 在刑事案件中，如何通过与律师沟通来影响收费标准？, 不同的律师对于刑事案件的收费有何不同之处？, 选择律师处理刑事案件，费用通常会受到哪些因素影响？, 请律师处理刑事案件时，收费与案件的严重性有关吗？, 不同类型的刑事案件请律师的费用会有差异吗？, 请律师办理刑事案件时，费用是否可以与律师事先商定？, 在刑事案件中，律师的收费标准和案件的具体情况有何关系？, 刑事案件的律师费用会根据案件的进展变化吗？, 请刑事案件律师的费用通常包含哪些方面？",23.720080345869064
别人欠我工资我到法院起诉都要提供些什么材料,"我该准备哪些材料去法院起诉欠我工资的雇主？, 解决欠薪纠纷，我应该先通过劳动仲裁还是直接向法院提起诉讼？, 欠薪问题起诉法院之前，有哪些准备工作需要做？, 如何通过法院或劳动仲裁途径追讨欠薪，具体需要哪些资料和证据？, 欠薪案件的起诉是否需要提供工资单等支付凭证？, 提起劳动仲裁之前，我应当提供哪些证据来支持我的工资要求？, 我起诉欠薪的案件，法院要求我提供哪些证据来支持我的诉求？, 先申请劳动仲裁能解决欠薪问题吗？仲裁需要准备哪些资料？, 欠工资起诉之前，我需要收集哪些证据来证明自己的劳动关系？, 劳动仲裁和法院起诉欠薪的区别是什么？我需要准备哪些材料？",27.24030774831772
交通事故对方主责我次责车辆修理费怎么算,"交通事故中如果对方主责，我的车辆修理费该怎么处理？, 对方主责时，如何操作让他们支付修理费用的一部分？, 如果我车修理费没支付，能否要求对方先行垫付？, 交通事故中，对方主责，我能要求先行支付的修理费比例是多少？, 在事故中对方承担主要责任，我该如何追讨修理费？, 对方主责的情况下，能不能让对方支付大部分的修理费？, 发生交通事故后，能否让对方垫付我车修理的七成费用？, 如果对方主责，是否可以要求他们先支付车辆修理费用的70%？, 交通事故责任划分后，如何确保对方先支付修理费？, 如果在交通事故中对方是主责，我的修理费由谁来支付？",23.233653962612152
请问，父亲生前欠下债务要还吗,"如果父亲去世后留下债务，作为继承人我是否需要偿还？, 父亲的债务是否会随遗产一起转移给我？, 如果我接受了父亲的遗产，会不会因此被迫偿还他的债务？, 继承父亲的遗产是否意味着我要负责偿还他生前的债务？, 父亲生前欠款，作为继承人是否会因此被要求还债？, 如果我继承父亲的财产，债务也会一并继承吗？, 父亲去世后留下的债务，我作为继承人是否要为此负责？, 继承父亲的遗产是否意味着必须支付他遗留的债务？, 父亲欠债如果我继承了他的遗产，是否也要承担这些债务？, 父亲生前有债务，继承人是否需要承担偿还责任？",23.354682981967926
公司拖欠工资打什么电话投诉才可以,"如果公司拖欠工资，我该拨打哪个电话进行投诉？, 我的工资没有按时发放，应该向哪个部门报告？, 如何处理公司拖欠加班工资的情况？, 如果公司不按时支付工资，我该如何通过劳动监察部门维权？, 单位拖欠工资，我可以申请哪些途径来维权？, 我的加班工资没有得到支付，应该找谁投诉？, 工资拖欠严重，我该如何申请劳动仲裁？, 如果工资没有发放，应该向哪个部门反映问题？, 公司拒绝支付工资，我该联系哪个电话投诉？, 遇到单位拖欠加班费，应该向哪个部门举报？",24.91801419854164
钱站利息算高利贷吗？,"钱站的利息算不算高利贷？, 钱站借款超过银行基准利率四倍的部分会触犯高利贷的法律规定吗？, 如果借钱平台的年利息超过24%，它是否符合高利贷的标准？, 钱站的贷款利息标准与法律上高利贷的认定有何关系？, 钱站的借款利率过高，会不会因为超过基准利率的四倍而被认定为高利贷？, 钱站借款的利息如果高于法律允许的范围，是否构成高利贷？, 如果钱站年利率超过24%，是不是就算高利贷？, 如果在钱站借钱，利息超过银行基准利率的四倍，会被认定为高利贷吗？, 贷款平台的钱站提供的借款利息是否会被认定为高利贷？, 钱站的年利率超过24%，是否违背了关于高利贷的法律标准？",22.617222160100937
你好，在公安局的笔录上画了押，还教了罚款会不会有案底,"你好，公安局的笔录会不会影响我的个人记录？, 你好，笔录只是教育，没有其他后果对吗？, 你好，若没有受到治安处罚，是否不会留下案底？, 你好，做笔录的情况下不会有刑事案底对吧？, 你好，受到了公安局的批评教育，会不会影响我的记录？, 你好，公安局只是做了笔录，是否不会有任何长期影响？, 你好，公安局的笔录会在以后影响我的生活吗？, 你好，若没有受到处罚，笔录会留案底吗？, 你好，公安局的笔录和案底有什么区别？, 你好，做了笔录后，是否会影响我今后的生活？",25.947966516017914
假如房产证和户口本同时给租赁人办理营业执照会发生什么后果？,"如果房产证和户口本同时提供给租赁人办理营业执照，会有什么法律后果？, 房东签署什么样的协议可以保护自己的利益，避免营业执照办理带来的麻烦？, 房东是否可以仅提供房产证复印件作为租赁合同的一部分？, 房东提供房产证复印件帮助租赁人注册公司，如何规避不必要的法律风险？, 若租户营业执照注销不及时，房东如何通过合同进行约定？, 房东是否需要注明房产证复印件只能用于营业执照注册的限定条件？, 如果租户未按协议注销营业执照，房东能否要求赔偿租金？, 如何确保租户办理营业执照后不会影响房东权益？, 房东与租户的协议中，如何规定办理营业执照的相关条款？, 如果房产证复印件用于注册营业执照，房东会面临什么法律责任？",29.56660521030426
请问我是二婚，房子是婚前买的，上午办的结婚证，下午去加的老婆名字，这样算不算夫妻共同财产,"如果我婚前买的房子，结婚后把老婆的名字加上，房子算夫妻共同财产吗？, 结婚证办完后，房子加上老婆名字，是不是意味着房子属于夫妻共同财产？, 婚后我把老婆的名字加到婚前买的房子上，这样房子会被视为共同财产吗？, 如果房子在结婚后加了老婆名字，这是否视为赠予，房子变成了夫妻共同财产？, 如果我婚前购买的房子，婚后加上老婆名字，是否就算赠与她，属于共同财产？, 结婚后我把老婆的名字加到了房产证上，这个房子是否会成为夫妻共同财产？, 婚前购房，婚后加上老婆名字，是否意味着房产属于共同财产？, 结婚后我在房产证上加了老婆名字，这样房子是不是变成夫妻共同财产了？, 结婚后把老婆的名字加到我婚前买的房子上，房产算不算夫妻共同财产？, 如果婚前购买的房子婚后加了老婆名字，那么这个房子是否算夫妻共同财产？",16.102003037929535
如何区分贪污和受贿？,"如何区分贪污罪与受贿罪？, 为什么贪污罪的实施只能发生在职务期间？, 在哪些情况下行为人既可能构成贪污也可能构成受贿？, 贪污和受贿在权力影响力上有何不同？, 离职后继续收受贿赂算不算受贿罪？, 如何理解贪污和受贿对职务便利的不同利用方式？, 为什么受贿罪有间接受贿的区分，而贪污没有？, 如何根据职务的性质判断是贪污还是受贿？, 受贿罪的犯罪完成时机与贪污罪有何不同？, 贪污和受贿在行为人职务范围内有何不同？",29.98713931441307
公司法人变更工程代建合同是否还有效,"公司法人变更后，工程代建合同是否仍然有效？, 公司法人变动会对已经签署的合同产生影响吗？, 法人变更是否会导致企业原合同自动终止？, 公司法人发生变化，原先签署的合同是否需要重新签订？, 工程代建合同是否会因公司法人更换而作废或失效？, 法人变更会影响到公司与客户之间签订的代建合同吗？, 公司法人变更后，合同是否继续有效，还是需要重新签订？, 法人变更是否会影响公司与其他方签订的工程代建合同？, 如果公司法人发生变化，之前签订的合同是否仍然有效？, 法人变动后，工程代建合同是否需要重新确认或变更？",22.090983986854553
带未满周岁孩子无经济来源的签订担保有效吗,"如果担保人没有经济来源，签订担保合同有效吗？, 没有经济来源的人担保他人是否有法律效力？, 如果担保人没有收入来源，是否仍然能为他人提供担保？, 无经济来源的人能担保别人吗？这样签合同会有效吗？, 担保合同是否需要担保人有稳定经济来源？, 如果担保人没有收入，签订的担保合同会有法律效力吗？, 没有经济来源是否会影响担保合同的有效性？, 没有经济来源的情况下，担保人签订担保合同是否能承担责任？, 如果没有收入，担保合同仍然有效吗？, 无经济来源的人是否可以作为担保人签合同？",22.85106459259987
女方欠男方的钱，离婚协议书要不要写让她归还？,"离婚协议书中是否需要写明女方归还男方欠款？, 女方欠钱给男方，离婚协议书中该如何处理？, 离婚协议是否应当包括女方归还债务的条款？, 离婚时，是否需要在协议书中涉及女方还钱的问题？, 女方欠款是否应在离婚协议书中明确要求归还？, 离婚时，是否有必要让女方归还欠男方的款项？, 离婚协议书是否应写明女方的债务偿还责任？, 如果女方欠男方钱，离婚协议书中需要注明吗？, 离婚协议书中应不应该处理女方的欠款问题？, 在离婚协议书中，是否应涉及女方的债务归还事项？",18.881838977336884
购房合同丢了怎么办,"如果购房合同丢失了怎么办？, 合同丢失后，如何在银行和开发商之间处理合同问题？, 购房合同丢失，是否需要重新做预售登记？, 如果购房合同丢失，如何证明自己是房屋所有者？, 购房合同丢失后，需要在报纸上刊登声明吗？, 如果购房合同丢了，是否会影响贷款和房产证办理？, 如果在购房过程中合同丢失，该采取哪些措施？, 丢失购房合同后，能否办理户口迁移手续？, 如果合同丢失了，如何向银行申请贷款变更？, 如果购房合同丢失，如何向房管局获取房屋相关证明？",22.010930508375168
新房与效果图不一致可否退房,"如果新房的效果图与实际情况不符，是否可以要求退房？, 开发商未按效果图建设房屋，是否应当为此承担一定的经济责任？, 新房的景观部分被遮挡，是否算作开发商的违约行为？, 效果图与新房实际情况有较大差异时，我是否有权要求退款或换房？, 如果新房景观部分与效果图不符，是否有权要求开发商提供补偿或其他解决方案？, 新房景观被遮挡，能否以此为理由要求退房？, 在新房与宣传效果图不一致的情况下，是否符合退房条件？, 如果房屋与展示效果图有较大出入，我是否可以选择退房？, 开发商未按照效果图施工，是否能要求退房或赔偿差价？, 新房的景观被遮挡，是否属于部分违约，是否有权要求补偿？",27.242236882448196
公司有权没收手机吗？,"公司是否有权没收员工的手机？, 公司是否可以在没有合法依据的情况下扣押手机？, 员工手机被公司没收合法吗？, 公司是否可以随意没收员工的个人财产，如手机？, 如果公司没收员工手机，这种行为是否合法？, 员工的手机是否会因为公司规定被没收？, 公司可以要求员工交出手机并没收吗？, 在什么情况下公司可以没收员工的手机？, 员工个人手机是否可以被公司扣押或没收？, 公司是否可以因为员工使用手机而没收其手机？",21.99398447573185
老板拖欠工资拒绝给押金怎么办,"老板拖欠工资不发，押金也不给退，我该怎么办？, 遇到工资和押金问题无法解决，应该向劳动部门投诉吗？, 如何应对公司拒绝支付工资和押金的情况？, 公司不发工资，还不退押金，我可以通过什么途径维权？, 如果遇到工资拖欠，押金不退的情况，我应该联系哪个部门？, 劳动合同到期后，老板不支付工资和押金，怎么办？, 面对老板拖欠工资和押金的情况，我可以采取哪些措施？, 如果公司没有支付工资，且拒绝退还押金，应该向谁投诉？, 我的工资被拖欠，押金也未退还，如何维权？, 如何处理老板既拖欠工资又不退押金的情况？",23.70860743522644
公司实行大小周，每天工作9小时，周六加班没有工资算违法吗,"如果公司实行大小周并且周六加班没有支付工资，这种做法合法吗？, 在没有明确加班费的情况下，实行大小周工作制算违法吗？, 每天工作9小时并且周六没有加班工资，是否违反劳动法？, 大小周工作制下，公司是否有义务支付周六的加班费？, 实行大小周且加班不支付工资，是否构成劳动合同违约？, 如果工作时间是大小周，每天工作9小时并且不支付加班费，这算违法吗？, 每天工作9小时且周六加班不发工资，这样的安排是否合法？, 如果劳动合同没有写明加班费，实行大小周是否合法？, 每周六加班无工资，这种做法违反劳动合同吗？, 如果在大小周工作模式下，周六加班不付费，是否违反劳动法规？",24.285964339971542
